symbol,sec_type,exchange,currency,expiry,strike,opt_type
AAL,STK,LSE,GBP,,0.0,
ANTO,STK,LSE,GBP,,0.0,
AUTO,STK,LSE,GBP,,0.0,
BT.A,STK,LSE,GBP,,0.0,
CCH,STK,LSE,GBP,,0.0,
CCL,STK,LSE,GBP,,0.0,
CPG,STK,LSE,GBP,,0.0,
EXPN,STK,LSE,GBP,,0.0,
EZJ,STK,LSE,GBP,,0.0,
FERG,STK,LSE,GBP,,0.0,
FRES,STK,LSE,GBP,,0.0,
HLMA,STK,LSE,GBP,,0.0,
IAG,STK,LSE,GBP,,0.0,
ICP,STK,LSE,GBP,,0.0,
III,STK,LSE,GBP,,0.0,
IMB,STK,LSE,GBP,,0.0,
INF,STK,LSE,GBP,,0.0,
ITRK,STK,LSE,GBP,,0.0,
JET,STK,LSE,GBP,,0.0,
JMAT,STK,LSE,GBP,,0.0,
LAND,STK,LSE,GBP,,0.0,
MGGT,STK,LSE,GBP,,0.0,
PHNX,STK,LSE,GBP,,0.0,
PRU,STK,LSE,GBP,,0.0,
PSN,STK,LSE,GBP,,0.0,
RB.,STK,LSE,GBP,,0.0,
RIO,STK,LSE,GBP,,0.0,
RR.,STK,LSE,GBP,,0.0,
RSA,STK,LSE,GBP,,0.0,
RTO,STK,LSE,GBP,,0.0,
SBRY,STK,LSE,GBP,,0.0,
SL.,STK,LSE,GBP,,0.0,
SMIN,STK,LSE,GBP,,0.0,
SMT,STK,LSE,GBP,,0.0,
STAN,STK,LSE,GBP,,0.0,
ULVR,STK,LSE,GBP,,0.0,
VOD,STK,LSE,GBP,,0.0,
WPP,STK,LSE,GBP,,0.0,
WTB,STK,LSE,GBP,,0.0,